Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2000,ATL,1,1999-11-02,0,WAS,L,87,94,31,78,.397,2,6,.333,23,30,.767,16,50,15,5,5,23,22,39,88,.443,3,10,.300,13,16,.813,12,42,23,5,5,15,30
2000,ATL,2,1999-11-04,1,MIL,L,109,119,41,83,.494,6,14,.429,21,30,.700,17,46,22,3,5,26,26,41,90,.456,4,11,.364,33,36,.917,12,38,24,15,6,11,25
2000,ATL,3,1999-11-06,1,CHI,W,113,97,44,81,.543,3,8,.375,22,34,.647,13,42,21,10,3,11,30,35,80,.438,3,12,.250,24,35,.686,17,39,14,6,6,14,26
2000,ATL,4,1999-11-08,0,DEN,L,100,115,39,82,.476,0,7,.000,22,30,.733,13,39,21,2,6,12,22,45,96,.469,6,19,.316,19,24,.792,22,49,28,6,15,7,23
2000,ATL,5,1999-11-10,0,VAN,L,97,102,39,92,.424,1,7,.143,18,24,.750,10,41,17,9,7,14,18,44,92,.478,1,6,.167,13,16,.813,15,49,27,9,10,18,24
2000,ATL,6,1999-11-13,0,POR,L,95,131,38,90,.422,5,15,.333,14,22,.636,12,36,17,7,1,16,28,53,81,.654,4,15,.267,21,32,.656,9,47,33,5,7,17,27
2000,ATL,7,1999-11-14,0,LAL,L,88,93,32,81,.395,5,12,.417,19,33,.576,20,56,14,8,5,19,28,36,84,.429,4,9,.444,17,33,.515,18,47,19,12,7,12,21
2000,ATL,8,1999-11-16,1,CHH,W,103,98,40,86,.465,3,10,.300,20,29,.690,16,49,19,5,3,13,20,38,84,.452,4,14,.286,18,22,.818,11,39,21,7,3,11,23
2000,ATL,9,1999-11-19,0,IND,W,105,99,43,96,.448,2,8,.250,17,22,.773,19,46,12,2,6,9,22,36,83,.434,5,13,.385,22,25,.880,14,43,25,3,8,10,21
2000,ATL,10,1999-11-20,1,ORL,L,103,107,43,90,.478,4,11,.364,13,22,.591,13,53,25,7,8,15,18,46,100,.460,3,8,.375,12,15,.800,11,46,26,10,8,9,18
2000,ATL,11,1999-11-23,1,MIA,W,113,106,45,81,.556,3,7,.429,20,28,.714,15,46,15,7,9,15,17,42,90,.467,9,19,.474,13,16,.813,11,33,21,8,4,12,26
2000,ATL,12,1999-11-24,0,MIA,L,91,93,36,80,.450,4,7,.571,15,21,.714,14,47,17,6,4,19,21,35,85,.412,6,16,.375,17,22,.773,12,43,24,8,8,9,22
2000,ATL,13,1999-11-26,0,DET,L,91,93,36,85,.424,6,14,.429,13,22,.591,12,51,15,5,4,15,22,32,84,.381,3,15,.200,26,29,.897,11,47,14,7,3,10,23
2000,ATL,14,1999-11-27,1,BOS,W,94,84,34,69,.493,1,10,.100,25,32,.781,10,47,17,3,5,18,20,30,78,.385,4,16,.250,20,25,.800,7,30,15,9,2,11,29
2000,ATL,15,1999-11-30,0,TOR,W,107,89,43,79,.544,5,11,.455,16,26,.615,15,51,25,5,10,13,15,36,95,.379,6,20,.300,11,16,.688,19,42,27,7,9,9,22
2000,ATL,16,1999-12-02,1,SAC,W,110,100,45,87,.517,4,9,.444,16,22,.727,9,51,23,5,2,15,15,41,101,.406,7,20,.350,11,13,.846,15,53,21,8,1,12,19
2000,ATL,17,1999-12-04,1,DET,W,112,110,39,76,.513,4,11,.364,30,34,.882,11,40,21,4,8,16,24,42,87,.483,6,17,.353,20,20,1.000,8,34,21,3,1,8,30
2000,ATL,18,1999-12-08,1,LAC,W,99,81,44,87,.506,2,5,.400,9,14,.643,12,50,19,5,6,11,19,32,87,.368,4,17,.235,13,17,.765,14,43,18,8,6,13,19
2000,ATL,19,1999-12-10,1,GSW,L,99,107,35,82,.427,6,19,.316,23,33,.697,16,43,15,3,4,19,19,47,99,.475,2,7,.286,11,17,.647,15,46,34,12,5,11,28
2000,ATL,20,1999-12-11,0,CLE,L,116,127,33,79,.418,7,17,.412,43,55,.782,14,42,21,3,11,20,28,46,92,.500,6,11,.545,29,39,.744,14,41,33,13,4,16,43
2000,ATL,21,1999-12-14,1,MIN,W,105,94,41,87,.471,4,11,.364,19,26,.731,19,60,22,8,9,18,14,40,96,.417,3,8,.375,11,15,.733,13,39,25,11,4,10,20
2000,ATL,22,1999-12-16,1,LAL,L,88,95,30,78,.385,2,11,.182,26,36,.722,13,46,12,5,7,16,30,35,87,.402,0,5,.000,25,36,.694,19,51,15,4,5,10,29
2000,ATL,23,1999-12-18,1,UTA,L,96,106,32,75,.427,1,7,.143,31,40,.775,14,41,14,4,6,13,16,43,87,.494,4,8,.500,16,17,.941,10,36,27,11,8,7,30
2000,ATL,24,1999-12-19,0,NJN,L,88,96,34,77,.442,4,7,.571,16,21,.762,18,49,13,5,6,20,15,42,89,.472,8,20,.400,4,9,.444,14,41,24,7,7,9,17
2000,ATL,25,1999-12-22,0,BOS,L,81,98,32,79,.405,1,5,.200,16,25,.640,12,45,13,5,2,13,15,40,83,.482,9,21,.429,9,11,.818,6,41,27,8,1,12,25
2000,ATL,26,1999-12-23,1,CLE,W,108,90,41,92,.446,2,12,.167,24,29,.828,21,56,21,5,11,14,22,33,89,.371,5,12,.417,19,24,.792,14,40,19,9,5,8,27
2000,ATL,27,1999-12-27,0,CHH,L,104,108,36,76,.474,6,14,.429,26,31,.839,10,31,20,6,2,18,32,35,71,.493,2,8,.250,36,45,.800,12,42,30,11,4,20,26
2000,ATL,28,1999-12-29,1,IND,L,89,116,35,85,.412,4,16,.250,15,22,.682,16,46,20,7,4,21,14,47,91,.516,8,20,.400,14,16,.875,10,43,31,13,4,13,20
2000,ATL,29,1999-12-30,0,DET,L,105,106,42,99,.424,3,11,.273,18,24,.750,25,60,24,5,7,16,21,40,87,.460,7,14,.500,19,26,.731,11,39,26,9,4,10,19
2000,ATL,30,2000-01-04,0,MIL,L,113,116,46,81,.568,6,12,.500,15,18,.833,11,35,23,6,3,15,22,49,88,.557,5,14,.357,13,15,.867,11,34,33,9,1,9,20
2000,ATL,31,2000-01-05,1,DET,L,108,120,42,75,.560,5,12,.417,19,24,.792,8,29,23,4,3,12,31,45,81,.556,3,6,.500,27,33,.818,13,38,23,8,3,9,25
2000,ATL,32,2000-01-07,1,TOR,W,105,97,41,81,.506,6,11,.545,17,19,.895,12,42,23,4,3,13,27,34,79,.430,4,12,.333,25,31,.806,12,36,15,5,3,9,21
2000,ATL,33,2000-01-08,0,DAL,L,85,95,34,98,.347,7,15,.467,10,16,.625,19,55,12,8,7,12,22,32,77,.416,7,15,.467,24,27,.889,9,50,20,3,10,12,18
2000,ATL,34,2000-01-14,0,CHI,W,89,83,35,79,.443,5,10,.500,14,19,.737,13,37,21,16,5,16,21,34,88,.386,3,22,.136,12,14,.857,18,46,24,9,3,22,21
2000,ATL,35,2000-01-15,1,PHI,L,98,101,35,77,.455,9,18,.500,19,24,.792,11,40,17,5,8,16,24,41,83,.494,1,3,.333,18,24,.750,12,37,24,8,2,9,24
2000,ATL,36,2000-01-17,1,MIL,L,101,107,40,83,.482,2,12,.167,19,23,.826,14,43,23,9,4,14,23,40,89,.449,10,14,.714,17,20,.850,16,40,18,6,6,12,22
2000,ATL,37,2000-01-19,0,PHI,L,89,107,29,85,.341,2,13,.154,29,38,.763,13,41,21,10,5,16,25,41,83,.494,0,3,.000,25,32,.781,10,53,26,11,2,17,27
2000,ATL,38,2000-01-21,0,MIA,L,79,101,28,92,.304,1,10,.100,22,30,.733,18,48,11,5,3,7,21,42,83,.506,2,11,.182,15,26,.577,11,50,30,3,9,7,20
2000,ATL,39,2000-01-22,1,WAS,W,111,93,39,84,.464,5,13,.385,28,37,.757,19,53,24,8,8,11,22,37,92,.402,3,7,.429,16,21,.762,20,49,16,4,5,12,23
2000,ATL,40,2000-01-25,1,CHI,W,96,89,38,84,.452,2,5,.400,18,23,.783,18,52,15,5,5,12,27,32,81,.395,4,12,.333,21,29,.724,17,42,15,7,4,10,26
2000,ATL,41,2000-01-28,1,NYK,W,98,96,33,93,.355,7,13,.538,25,27,.926,22,56,16,7,6,14,21,36,84,.429,7,15,.467,17,24,.708,8,43,14,9,3,11,24
2000,ATL,42,2000-01-29,0,ORL,L,87,103,29,80,.363,2,17,.118,27,36,.750,10,42,20,3,4,12,27,37,80,.463,2,11,.182,27,36,.750,10,50,18,6,6,12,27
