Season,Team,Home,W/L,G,Win%
2000,ATL,0,7,41,0.17073170731707318
2000,ATL,1,21,41,0.5121951219512195
2000,BOS,0,9,41,0.21951219512195122
2000,BOS,1,26,41,0.6341463414634146
2000,CHI,0,5,41,0.12195121951219512
2000,CHI,1,12,41,0.2926829268292683
2000,CLE,0,10,41,0.24390243902439024
2000,CLE,1,22,41,0.5365853658536586
2000,DAL,0,18,41,0.43902439024390244
2000,DAL,1,22,41,0.5365853658536586
2000,DEN,0,10,41,0.24390243902439024
2000,DEN,1,25,41,0.6097560975609756
2000,DET,0,15,41,0.36585365853658536
2000,DET,1,27,41,0.6585365853658537
2000,GSW,0,7,41,0.17073170731707318
2000,GSW,1,12,41,0.2926829268292683
2000,HOU,0,12,41,0.2926829268292683
2000,HOU,1,22,41,0.5365853658536586
2000,IND,0,20,41,0.4878048780487805
2000,IND,1,36,41,0.8780487804878049
2000,LAC,0,5,41,0.12195121951219512
2000,LAC,1,10,41,0.24390243902439024
2000,LAL,0,31,41,0.7560975609756098
2000,LAL,1,36,41,0.8780487804878049
2000,MIA,0,19,41,0.4634146341463415
2000,MIA,1,33,41,0.8048780487804879
2000,MIL,0,19,41,0.4634146341463415
2000,MIL,1,23,41,0.5609756097560976
2000,MIN,0,24,41,0.5853658536585366
2000,MIN,1,26,41,0.6341463414634146
2000,NYK,0,17,41,0.4146341463414634
2000,NYK,1,33,41,0.8048780487804879
2000,ORL,0,15,41,0.36585365853658536
2000,ORL,1,26,41,0.6341463414634146
2000,PHI,0,20,41,0.4878048780487805
2000,PHI,1,29,41,0.7073170731707317
2000,PHO,0,21,41,0.5121951219512195
2000,PHO,1,32,41,0.7804878048780488
2000,POR,0,29,41,0.7073170731707317
2000,POR,1,30,41,0.7317073170731707
2000,SAC,0,14,41,0.34146341463414637
2000,SAC,1,30,41,0.7317073170731707
2000,SAS,0,22,41,0.5365853658536586
2000,SAS,1,31,41,0.7560975609756098
2000,TOR,0,19,41,0.4634146341463415
2000,TOR,1,26,41,0.6341463414634146
2000,UTA,0,24,41,0.5853658536585366
2000,UTA,1,31,41,0.7560975609756098
2000,WAS,0,12,41,0.2926829268292683
2000,WAS,1,17,41,0.4146341463414634
2001,ATL,0,7,41,0.17073170731707318
2001,ATL,1,18,41,0.43902439024390244
2001,BOS,0,16,41,0.3902439024390244
2001,BOS,1,20,41,0.4878048780487805
2001,CHI,0,5,41,0.12195121951219512
2001,CHI,1,10,41,0.24390243902439024
2001,CLE,0,10,41,0.24390243902439024
2001,CLE,1,20,41,0.4878048780487805
2001,DAL,0,25,41,0.6097560975609756
2001,DAL,1,28,41,0.6829268292682927
2001,DEN,0,11,41,0.2682926829268293
2001,DEN,1,29,41,0.7073170731707317
2001,DET,0,14,41,0.34146341463414637
2001,DET,1,18,41,0.43902439024390244
2001,GSW,0,6,41,0.14634146341463414
2001,GSW,1,11,41,0.2682926829268293
2001,HOU,0,21,41,0.5121951219512195
2001,HOU,1,24,41,0.5853658536585366
2001,IND,0,15,41,0.36585365853658536
2001,IND,1,26,41,0.6341463414634146
2001,LAC,0,9,41,0.21951219512195122
2001,LAC,1,22,41,0.5365853658536586
2001,LAL,0,25,41,0.6097560975609756
2001,LAL,1,31,41,0.7560975609756098
2001,MIA,0,21,41,0.5121951219512195
2001,MIA,1,29,41,0.7073170731707317
2001,MIL,0,21,41,0.5121951219512195
2001,MIL,1,31,41,0.7560975609756098
2001,MIN,0,17,41,0.4146341463414634
2001,MIN,1,30,41,0.7317073170731707
2001,NYK,0,18,41,0.43902439024390244
2001,NYK,1,30,41,0.7317073170731707
2001,ORL,0,17,41,0.4146341463414634
2001,ORL,1,26,41,0.6341463414634146
2001,PHI,0,27,41,0.6585365853658537
2001,PHI,1,29,41,0.7073170731707317
2001,PHO,0,20,41,0.4878048780487805
2001,PHO,1,31,41,0.7560975609756098
2001,POR,0,22,41,0.5365853658536586
2001,POR,1,28,41,0.6829268292682927
2001,SAC,0,22,41,0.5365853658536586
2001,SAC,1,33,41,0.8048780487804879
2001,SAS,0,25,41,0.6097560975609756
2001,SAS,1,33,41,0.8048780487804879
2001,TOR,0,20,41,0.4878048780487805
2001,TOR,1,27,41,0.6585365853658537
2001,UTA,0,25,41,0.6097560975609756
2001,UTA,1,28,41,0.6829268292682927
2001,WAS,0,7,41,0.17073170731707318
2001,WAS,1,12,41,0.2926829268292683
2002,ATL,0,10,41,0.24390243902439024
2002,ATL,1,23,41,0.5609756097560976
2002,BOS,0,22,41,0.5365853658536586
2002,BOS,1,27,41,0.6585365853658537
2002,CHI,0,7,41,0.17073170731707318
2002,CHI,1,14,41,0.34146341463414637
2002,CLE,0,9,41,0.21951219512195122
2002,CLE,1,20,41,0.4878048780487805
2002,DAL,0,27,41,0.6585365853658537
2002,DAL,1,30,41,0.7317073170731707
2002,DEN,0,7,41,0.17073170731707318
2002,DEN,1,20,41,0.4878048780487805
2002,DET,0,24,41,0.5853658536585366
2002,DET,1,26,41,0.6341463414634146
2002,GSW,0,7,41,0.17073170731707318
2002,GSW,1,14,41,0.34146341463414637
2002,HOU,0,10,41,0.24390243902439024
2002,HOU,1,18,41,0.43902439024390244
2002,IND,0,17,41,0.4146341463414634
2002,IND,1,25,41,0.6097560975609756
2002,LAC,0,14,41,0.34146341463414637
2002,LAC,1,25,41,0.6097560975609756
2002,LAL,0,24,41,0.5853658536585366
2002,LAL,1,34,41,0.8292682926829268
2002,MEM,0,8,41,0.1951219512195122
2002,MEM,1,15,41,0.36585365853658536
2002,MIA,0,18,41,0.43902439024390244
2002,MIA,1,18,41,0.43902439024390244
2002,MIL,0,16,41,0.3902439024390244
2002,MIL,1,25,41,0.6097560975609756
2002,MIN,0,21,41,0.5121951219512195
2002,MIN,1,29,41,0.7073170731707317
2002,NYK,0,11,41,0.2682926829268293
2002,NYK,1,19,41,0.4634146341463415
2002,ORL,0,17,41,0.4146341463414634
2002,ORL,1,27,41,0.6585365853658537
2002,PHI,0,21,41,0.5121951219512195
2002,PHI,1,22,41,0.5365853658536586
2002,PHO,0,13,41,0.3170731707317073
2002,PHO,1,23,41,0.5609756097560976
2002,POR,0,19,41,0.4634146341463415
2002,POR,1,30,41,0.7317073170731707
2002,SAC,0,25,41,0.6097560975609756
2002,SAC,1,36,41,0.8780487804878049
2002,SAS,0,26,41,0.6341463414634146
2002,SAS,1,32,41,0.7804878048780488
2002,TOR,0,18,41,0.43902439024390244
2002,TOR,1,24,41,0.5853658536585366
